instrument_id,ticker,name,asset_type,sector,telda_available,telda_verified_on
ACAP,ACAP,ACAP,EQUITY,,true,2026-08-25
ADIB,ADIB,ADIB,EQUITY,,true,2026-08-25
ABUK,ABUK,Abu Qir Fertilizers and Chemical Industries,EQUITY,,true,2026-08-25
ACRO,ACRO,ACRO,EQUITY,,true,2026-08-25
ACTF,ACTF,ACTF,EQUITY,,true,2026-08-25
APPC,APPC,APPC,EQUITY,,true,2026-08-25
AJWA,AJWA,AJWA,EQUITY,,true,2026-08-25
AFDI,AFDI,AFDI,EQUITY,,true,2026-08-25
SAUD,SAUD,SAUD,EQUITY,,true,2026-08-25
IRAX.CA,IRAX.CA,IRAX.CA,EQUITY,,true,2026-08-25
AMES,AMES,AMES,EQUITY,,true,2026-08-25
AMOC,AMOC,AMOC,EQUITY,,true,2026-08-25
AXPH,AXPH,AXPH,EQUITY,,true,2026-08-25
ALEX,ALEX,ALEX,EQUITY,,true,2026-08-25
SPIN,SPIN,SPIN,EQUITY,,true,2026-08-25
AMER,AMER,AMER,EQUITY,,true,2026-08-25
ALUM,ALUM,ALUM,EQUITY,,true,2026-08-25
ACAMD,ACAMD,ACAMD,EQUITY,,true,2026-08-25
AMII,AMII,AMII,EQUITY,,true,2026-08-25
ACGC,ACGC,ACGC,EQUITY,,true,2026-08-25
ECAP,ECAP,ECAP,EQUITY,,true,2026-08-25
FNAR,FNAR,FNAR,EQUITY,,true,2026-08-25
KRDI,KRDI,KRDI,EQUITY,,true,2026-08-25
AMPI,AMPI,AMPI,EQUITY,,true,2026-08-25
ELSH,ELSH,ELSH,EQUITY,,true,2026-08-25
ATLC,ATLC,ATLC,EQUITY,,true,2026-08-25
ALCN,ALCN,ALCN,EQUITY,,true,2026-08-25
AFMC,AFMC,AFMC,EQUITY,,true,2026-08-25
ARAB,ARAB,ARAB,EQUITY,,true,2026-08-25
ADCI,ADCI,ADCI,EQUITY,,true,2026-08-25
EEII,EEII,EEII,EQUITY,,true,2026-08-25
ADRI,ADRI,ADRI,EQUITY,,true,2026-08-25
AMIA,AMIA,AMIA,EQUITY,,true,2026-08-25
APSW,APSW,APSW,EQUITY,,true,2026-08-25
RREI,RREI,RREI,EQUITY,,true,2026-08-25
AIDC,AIDC,AIDC,EQUITY,,true,2026-08-25
AIH,AIH,AIH,EQUITY,,true,2026-08-25
ARCC,ARCC,ARCC,EQUITY,,true,2026-08-25
DOMT,DOMT,DOMT,EQUITY,,true,2026-08-25
ASCM,ASCM,ASCM,EQUITY,,true,2026-08-25
ASPI,ASPI,ASPI,EQUITY,,true,2026-08-25
AIFI,AIFI,AIFI,EQUITY,,true,2026-08-25
BINV,BINV,BINV,EQUITY,,true,2026-08-25
BIGP,BIGP,BIGP,EQUITY,,true,2026-08-25
BTFH,BTFH,BTFH,EQUITY,,true,2026-08-25
BONY,BONY,BONY,EQUITY,,true,2026-08-25
CAED,CAED,CAED,EQUITY,,true,2026-08-25
CIRA,CIRA,CIRA,EQUITY,,true,2026-08-25
COSG,COSG,COSG,EQUITY,,true,2026-08-25
POUL,POUL,POUL,EQUITY,,true,2026-08-25
CSAG,CSAG,CSAG,EQUITY,,true,2026-08-25
CPME,CPME,CPME,EQUITY,,true,2026-08-25
KASABF,KASABF,KASABF,FUND,,true,2026-08-25
CICH,CICH,CICH,EQUITY,,true,2026-08-25
CLHO,CLHO,CLHO,EQUITY,,true,2026-08-25
COMI,COMI,Commercial International Bank (Egypt),EQUITY,,true,2026-08-25
CNFN,CNFN,CNFN,EQUITY,,true,2026-08-25
COPR,COPR,COPR,EQUITY,,true,2026-08-25
CRST,CRST,CRST,EQUITY,,true,2026-08-25
CIEB,CIEB,CIEB,EQUITY,,true,2026-08-25
DCRC,DCRC,DCRC,EQUITY,,true,2026-08-25
DTPP,DTPP,DTPP,EQUITY,,true,2026-08-25
DEIN,DEIN,DEIN,EQUITY,,true,2026-08-25
SUGR,SUGR,SUGR,EQUITY,,true,2026-08-25
DAPH,DAPH,DAPH,EQUITY,,true,2026-08-25
DSCW,DSCW,DSCW,EQUITY,,true,2026-08-25
